Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2020-001767,6/16/2020,4:18:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Disorderly Behaviour,Belligerent Person,A community member reported an unknown male acted in a belligerent manner toward them during a dispute regarding the males illegally parked vehicle. A description of the male was obtained.
2020-001766,6/16/2020,4:40:00 PM,GLENDON COLLEGE - HILLIARD RESIDENCE,Fire Alarm,Malfunction,Security and York Fire Prevention responded to a fire alarm. The cause of the alarm was determined to be a malfunction. Maintenance was notified and attended.
2020-001768,6/16/2020,8:07:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Fire (Actual),Major,"Security, Toronto Police and Toronto Fire responded to a report of an active fire inside an apartment. The building was evacuated and the fire extinguished. Damage was sustained to several units. No injuries were reported."
2020-001769,6/16/2020,11:46:00 PM,STEDMAN LECTURE HALLS,Disorderly Behaviour,Unauthorized Activities,Security responded to a report of several individuals on the building roof. The group was cautioned and were directed to leave campus.
2020-001772,6/17/2020,9:34:00 AM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure loading dock door. The lock had been tampered with and the door propped open. The door was secured.
2020-001775,6/17/2020,1:05:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a first floor hallway. The individual was identified and directed to leave campus.
2020-001776,6/17/2020,1:06:00 PM,ROSS BUILDING - NORTH TOWER,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a first floor hallway. The individual was identified and directed to leave campus.
2020-001778,6/17/2020,2:00:00 PM,KEELE CAMPUS RESIDENCE,Emergency Medical,Sudden Illness,"Security, Toronto Police and EMS responded to a report that a resident became ill after they consumed an excessive quantity of prescribed medication. EMS transported the individual to hospital for further medical care."
2020-001779,6/17/2020,2:27:00 PM,90 ATKINSON ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint on the third floor. Upon arrival, there was no evidence of smoking in the vicinity."
2020-001781,6/17/2020,3:59:00 PM,VARI HALL,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001780,6/17/2020,4:15:00 PM,SCOTT LIBRARY,"Mischief, Under $5000",University Property,A Security patrol discovered unauthorized posters in the building. The posters were removed.
2020-001786,6/18/2020,12:25:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be excessive noise emanating from inside an apartment. The occupant was requested to lower the noise level.
2020-001788,6/18/2020,6:12:00 PM,PARKING GARAGE - YORK LANES (PS1),Motor Vehicle Incident,Fail to Remain / Injuries,Security and EMS responded to a report that a community member sustained injuries when they were almost struck by a vehicle being operated in a dangerous manner. EMS transported the individual to hospital for further medical care. A description of the vehicle was obtained.
2020-001790,6/19/2020,1:51:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located and the leaseholder was requested to lower the noise level.
2020-001791,6/19/2020,8:20:00 AM,PARKING GARAGE - STUDENT SERVICES (PS3),"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member loitering in the garage. The individual left the building.
2020-001792,6/19/2020,9:00:00 AM,YORK LANES RETAIL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in a vestibule. The individual was identified and directed to leave campus.
2020-001794,6/19/2020,9:11:00 AM,KEELE CAMPUS,Uttering Threats,Community Member,Security responded to investigate a report that a community member uttered threats while participating in an on-line class.
2020-001795,6/19/2020,11:00:00 AM,PARKING LOT - PASSY CRESCENT,Emergency Medical,Sudden Illness,Security responded to a report that an individual was experiencing abdominal pain. Medical care was declined.
2020-001799,6/19/2020,1:33:00 PM,EXECUTIVE LEARNING CENTRE,"Mischief, Over $5000",University Property,"Security, Toronto Police and Toronto Fire responded to investigate a report of deliberate damage in the building. A suspect identified as a community member was arrested on scene. The investigation is ongoing."
2020-001796,6/19/2020,2:42:00 PM,EXECUTIVE LEARNING CENTRE,Assault,Common (Security Official),"While responding with Toronto Fire Service to a fire alarm, an unknown male was encountered in the dining hall. The male uttered death threats and was arrested by Security after he assaulted the responding Security Official and a Toronto Firefighter. Toronto Police and EMS were called to attend. Toronto Police took custody of the suspect, identified as a community member. The area was secured pending further investigation and due to the significant damage to the property."
2020-001798,6/19/2020,3:15:00 PM,SCHULICH SCHOOL OF BUSINESS,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to a courtyard door. The Work Control Centre was notified.
2020-001797,6/19/2020,4:38:00 PM,FOUNDERS RESIDENCE,"Theft, Under $5000",Private Property,A community member reported the theft of a bicycle wheel while the bike was secured outside the residence.
2020-001802,6/19/2020,8:28:00 PM,WINTERS COLLEGE,Suspicious Persons,Subject not Identified,A Security patrol encountered an unknown male smoking in the loading dock area. The male left the area without incident.
2020-001800,6/19/2020,8:43:00 PM,FOUNDERS RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure east perimeter door. The door had been tampered with and was secured.
2020-001803,6/19/2020,11:31:00 PM,90 ATKINSON ROAD RESIDENCE,Damage,University Property,Complainant reported damaged ceiling tiles in the basement level hallway. The Work Control Centre was notified.
2020-001804,6/20/2020,6:50:00 PM,PODIUM,Disorderly Behaviour,Alcohol - open in public place,Security responded to a report of a group of individuals loitering and consuming alcohol on the Ross Podium. The group was cautioned and left the area without incident.
2020-001806,6/21/2020,3:32:00 AM,FOUNDERS RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing difficulty breathing. EMS treated the individual on scene. Further medical care was declined.
2020-001807,6/21/2020,4:38:00 PM,90 ATKINSON ROAD RESIDENCE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2020-001811,6/22/2020,10:36:00 AM,320 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured to the bike rack located on the south side of the residence.
2020-001812,6/22/2020,11:04:00 AM,ATKINSON COLLEGE,Fire Alarm,Contractor\Const.,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be contractors working in the building."
2020-001813,6/22/2020,11:29:00 AM,BERGERON ENGINEERING BUILDING,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction."
2020-001816,6/22/2020,7:33:00 PM,CENTRAL SQUARE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001822,6/22/2020,9:16:00 PM,STONG COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been manually unlocked. The door was secured.
2020-001819,6/22/2020,9:26:00 PM,360 ASSINIBOINE ROAD RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure west perimeter door. The lock had been tampered with and was secured.
2020-001823,6/22/2020,10:11:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001826,6/23/2020,2:51:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Damage,University Property,A Security patrol discovered a damaged tire on a university vehicle. The cause of the damage was determined to be an object embedded in tire.
2020-001832,6/23/2020,2:53:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door in stair #5 on the basement level. The door had been tampered with and was secured.
2020-001834,6/23/2020,4:57:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure north perimeter door. The lock had been tampered with and was secured.
2020-001836,6/23/2020,5:27:00 PM,PARKING LOT - FOUNDERS ROAD WEST RESERVED,Motor Vehicle Incident,Dangerous Operation,Security responded to a report that a vehicle was being operated in a dangerous manner. The driver of the vehicle was cautioned and directed to leave campus.
2020-001835,6/23/2020,5:34:00 PM,90 ATKINSON ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured to the bike rack outside the residence.
2020-001837,6/23/2020,5:58:00 PM,YORK LANES RETAIL,Emergency Medical,Sudden Illness,"Security, Toronto Fire and EMS responded to a report of an individual experiencing a sudden illness. The unidentified female was transported to hospital for further medical care."
2020-001842,6/24/2020,2:32:00 AM,SECOND STUDENT CENTRE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep on the second floor. The individual was identified and directed to leave campus.
2020-001843,6/24/2020,8:44:00 AM,SECOND STUDENT CENTRE,"Disturbance, Causing",Loitering,"Security responded to a report of an unknown male asleep in a stairwell. Upon arrival, personal belongings were observed however, the individual had left the area."
2020-001844,6/24/2020,3:17:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001845,6/24/2020,3:38:00 PM,WINTERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to a door leading into the Winters College dining hall. The Work Control Centre was notified for repairs.
2020-001846,6/24/2020,3:46:00 PM,WINTERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered several insecure perimeter doors. The doors had been tampered with and were secured.
2020-001849,6/24/2020,8:18:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001851,6/24/2020,9:10:00 PM,YORK LIONS STADIUM,"Disturbance, Causing",Loitering,A Security patrol encountered two unknown individuals loitering in the stadium bleachers. The individuals were cautioned and directed to leave the area.
2020-001852,6/24/2020,9:25:00 PM,FOUNDERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door in stairwell #4. The lock had been tampered with. The door was secured.
2020-001859,6/25/2020,10:54:00 AM,PODIUM,Information,General Complaint\ Concern,A community member reported a concerning poster on display on the Ross Podium. The area was checked however the poster was not located.
2020-001860,6/25/2020,1:06:00 PM,FOUNDERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in an emergency exit door. The Work Control Centre was notified.
2020-001861,6/25/2020,3:38:00 PM,FOUNDERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure loading dock door. The door had been tampered with and was secured.
2020-001862,6/25/2020,6:32:00 PM,PARKING LOT - YORK BLVD RESERVED,Suspicious Persons,Subject Identified,A Security patrol encountered two individuals engaged in sexual activity in a parked vehicle. The involved parties confirmed their activity was consensual. They were cautioned and directed to leave the parking lot.
2020-001866,6/25/2020,8:43:00 PM,IAN MACDONALD BLVD,Harassment,General,A community member reported being harassed while jogging past a group of unknown males who appeared to be contractors working in a nearby building.
2020-001868,6/25/2020,9:47:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered insecure perimeter doors. The doors had been tampered with and were secured.
2020-001871,6/26/2020,1:56:00 AM,BEHAVIOURAL SCIENCE BUILDING,Trespass to Property Act,Non-Community Member,"Security responded to a report of two unknown individuals attempting to gain access to the building. Upon arrival, both individuals quickly left the area. One individual was observed to be a previously trespassed non-community member."
2020-001872,6/26/2020,10:01:00 AM,FOUNDERS RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing breathing difficulties. First aid was provided on scene and EMS transported the individual to hospital for further medical care.
2020-001873,6/26/2020,3:33:00 PM,VANIER COLLEGE,Suspicious Persons,Subject Identified,A Security patrol encountered a community member inside the building without authorization. The individual was identified and directed to leave the building.
2020-001874,6/26/2020,3:47:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with. The door was secured.
2020-001875,6/26/2020,5:48:00 PM,CENTRAL SQUARE,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member loitering in the building. The individual was escorted out of the building.
2020-001876,6/26/2020,11:00:00 PM,ACCOLADE EAST,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure loading dock door. The door was secured.
2020-001878,6/27/2020,1:51:00 AM,SHOREHAM DRIVE,Motor Vehicle Incident,Dangerous Operation,"Security and Toronto Police responded to a report of several vehicles being operated in a dangerous manner at the intersection of The Pond Road and Shoreham Drive. Upon arrival, the involved vehicles left the area. No injuries or collisions were reported."
2020-001879,6/27/2020,11:49:00 AM,PASSY RESIDENCE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2020-001880,6/27/2020,12:45:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in a fire equipment cabinet. The Work Control Centre was notified.
2020-001881,6/27/2020,2:35:00 PM,90 ATKINSON ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured to the bike rack outside the east entrance.
2020-001882,6/27/2020,5:39:00 PM,340 ASSINIBOINE ROAD RESIDENCE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing breathing difficulties. EMS assessed the individual on scene. Further medical care was declined.
2020-001884,6/28/2020,1:16:00 AM,PASSY RESIDENCE #8,Noise Complaint,Source Located,Security responded to a noise complaint. A group of individuals in a courtyard were cautioned regarding their excessive noise and requested to lower the noise level.
2020-001885,6/28/2020,2:10:00 AM,STONG COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001887,6/28/2020,6:30:00 AM,VARI HALL,"Mischief, Under $5000",University Property,A Security patrol discovered spray paint graffiti on an exterior wall in the north courtyard. The Work Control Centre was notified.
2020-001890,6/28/2020,6:41:00 AM,GOLDFARB CENTRE FOR FINE ARTS,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report of a community member with a shoulder injury. EMS transported the individual to hospital for further medical care.
2020-001894,6/29/2020,2:43:00 PM,WINTERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The lock had been tampered with and was secured.
2020-001895,6/29/2020,3:36:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure loading dock door. The lock had been tampered with and was secured.
2020-001896,6/29/2020,4:35:00 PM,SCOTT LIBRARY,"Mischief, Under $5000",University Property,A Security patrol discovered spray paint graffiti in the area surrounding the Scott Library rainbow fountain. Similar graffiti was discovered on the Ross Podium. The Work Control Centre was notified.
2020-001897,6/30/2020,3:07:00 PM,FOUNDERS RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001898,6/30/2020,3:13:00 PM,YU TTC SUBWAY STATION - Common Road,Harassment,General,Security responded to a report that a community member was harassed by an unknown male while arriving on campus at theYorkUniversitysubwaystation. A description of the male was obtained.
2020-001899,6/30/2020,4:36:00 PM,LIBRARY LANE,Suspicious Persons,Subject Identified,Security responded to assist a community member who reported being followed by an unknown male. The unknown male was located and identified as a known community member.
2020-001902,6/30/2020,6:39:00 PM,VANIER COLLEGE,"Disturbance, Causing",Loitering,"A Security patrol discovered an insecure lecture hall. Upon further investigation, a strong odour of cigarette smoke as well as discarded alcohol bottles and clothing items were observed in the lecture hall. The Work Control Centre was notified."
2020-001900,6/30/2020,7:26:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The lock had been tampered with and was secured.
2020-001901,6/30/2020,8:09:00 PM,VARI HALL,"Disturbance, Causing",Loitering,"A Security patrol discovered an insecure lecture hall. Upon further investigation, a strong odour of urine and cigarette smoke as well as clothing items were observed in the lecture hall. The Work Control Centre was notified."
2020-001904,7/1/2020,3:27:00 PM,SECOND STUDENT CENTRE,"Disturbance, Causing",Loitering,A Security patrol discovered personal property belonging to a known trespasser on the fourth floor.
2020-001905,7/1/2020,4:09:00 PM,ALUMNI STADIUM PLAYING FIELD,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered two individuals who had entered the playing field through an insecure gate and without authorization. The individuals were cautioned and directed to leave the premises.
2020-001907,7/1/2020,8:40:00 PM,GLENDON HALL,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered a group of unknown males on the roof of the building. The individuals were cautioned and directed to leave campus.
2020-001909,7/1/2020,10:18:00 PM,GLENDON COLLEGE - PARKING LOT G,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered a group of non-community members gathered and discharging fireworks on the Proctor playing field. The group was cautioned regarding social distancing guidelines and the use of fireworks without a use of space permit. The group departed without incident.
2020-001908,7/1/2020,10:50:00 PM,SOUTH\W EST FIELD,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered a group of individuals gathered and discharging fireworks on the Passy Playing field. A member of the group was identified as a communitymember. Thegroupwas cautioned regarding social distancing and the use of fireworks without a use of space permit. The group departed without incident.
2020-001918,7/3/2020,2:45:00 PM,GLENDON HALL,Disorderly Behaviour,Unauthorized Activities,"A Security patrol encountered a group of non-community members loitering inside Radio Glendon offices. The individuals advised they were permitted access by an authorized community member who was not present. One unidentified male acted in a belligerent manner and refused to leave the building. The community member returned, was cautioned and the group was escorted out of the building."
2020-001919,7/3/2020,3:18:00 PM,ACCOLADE EAST,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure south west perimeter door. The lock had been tampered with and was secured.
2020-001920,7/3/2020,3:57:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with and was secured.
2020-001921,7/3/2020,6:14:00 PM,NORMAN BETHUNE COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure south perimeter door. The lock had been tampered with and was secured.
2020-001922,7/3/2020,6:17:00 PM,YORK LANES RETAIL,"Disturbance, Causing",Dispute,Security responded to a report of a dispute between a customer and a vendor. The dispute was resolved and no further action was required.
2020-001923,7/4/2020,11:09:00 AM,PASSY RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2020-001924,7/4/2020,11:25:00 AM,ARBORETUM LANE,Mental Health Act,Non-Community Member,"Security, Toronto Police and EMS responded to a report of an unknown male in distress. The male was located near the Bergeron Centre for Engineering. He was arrested by Police and transported by EMS to hospital for further medical care. The male was later identified by police as a non-community member."
2020-001926,7/4/2020,3:22:00 PM,PASSY RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2020-001925,7/4/2020,3:49:00 PM,KEELE CAMPUS,Harassment,Electronic/Email,A community member reported ongoing harassment via email by a former community member. The suspect was identified. The complainant filed a report with Toronto Police.
2020-001931,7/5/2020,10:39:00 PM,ATKINSON ROAD,Suspicious Persons,Subject not Identified,"A community member reported being approached on two occasions by an unknown male in a vehicle. On both occasions, the driver of the vehicle made concerning comments. Descriptions of the male and vehicle were obtained."
2020-001932,7/5/2020,11:49:00 PM,PARKING LOT - CHIMNEYSTACK ROAD,"Mischief, Under $5000",Private Property,A community member reported their vehicle was spray painted with graffiti while parked in the lot.
2020-001933,7/6/2020,12:20:00 AM,HOOVER HOUSE,"Mischief, Under $5000",University Property,A Security patrol discovered spray paint graffiti on the exterior of Hoover House. The Work Control Centre was notified.
2020-001935,7/6/2020,5:03:00 AM,FIRST STUDENT CENTRE,Break & Enter,Private Property,Security responded to a report of a break and enter at a retail store. Evidence of forced entry was observed. The vendor was notified.
2020-001937,7/6/2020,9:55:00 AM,380 ASSINIBOINE ROAD RESIDENCE,"Mischief, Under $5000",University Property,Security responded to a report of a smashed pane of glass in the interior lobby door. The Work Control Centre was notified.
2020-001938,7/6/2020,6:28:00 PM,380 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle left unattended in the sixth floor hallway.
2020-001939,7/6/2020,7:31:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Motor Vehicle Incident,Fail to Obey Regulatory Signs,A Security patrol observed a vehicle being operated at a high rate of speed in the parking garage. A licence plate number was obtained.
2020-001940,7/6/2020,8:03:00 PM,CENTRAL SQUARE,"Disturbance, Causing",Loitering,A Security patrol encountered a community member loitering inside a basement level washroom. The individual was identified and directed to leave the building.
2020-001944,7/7/2020,12:01:00 PM,PASSY RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint on the second floor. Upon arrival, all was quiet and appeared to be in order."
2020-001943,7/7/2020,2:24:00 PM,WILLIAM SMALL CENTRE,Disorderly Behaviour,Belligerent Person,Security responded to a report that a community member attended an office area and acted in a belligerent manner towards another community member.
2020-001947,7/7/2020,3:50:00 PM,VANIER COLLEGE,"Disturbance, Causing",Loitering,A Security patrol encountered a known non-community member loitering in the first floor hallway. The individual was identified and directed to leave the building.
2020-001946,7/7/2020,4:18:00 PM,KEELE CAMPUS RESIDENCE,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing a seizure. EMS transported the individual to hospital for further medical care.
2020-001949,7/7/2020,8:29:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure south perimeter door. The lock had been tampered with and was secured.
2020-001952,7/8/2020,11:55:00 AM,KEELE CAMPUS RESIDENCE,Information,Health & Safety Concern,Security and Toronto Police responded to check on the well-being of a community member. The individual was not located.
2020-001958,7/8/2020,9:55:00 PM,SECOND STUDENT CENTRE,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to a second floor hand sanitizer dispenser.
2020-001961,7/8/2020,10:33:00 PM,SECOND STUDENT CENTRE,Trespass to Property Act,Non-Community Member,Security responded to a complaint that a homeless male was asleep on the second floor. The male was identified as a previously trespassed non-community member. He was issued a trespass notice and escorted off campus.
2020-001962,7/9/2020,9:44:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fire (Actual),Vehicle,"Security, York Fire Prevention, Toronto Police and Toronto Fire responded to a report of an active vehicle fire in the parking garage. Toronto Fire extinguished the fire without incident. No injuries were reported."
2020-001964,7/10/2020,7:15:00 PM,PASSY RESIDENCE,Information,General Complaint\ Concern,A community member reported a known non-community member was loitering outside their residence after they were told to leave. A description of the male was obtained.
2020-001965,7/11/2020,11:38:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint on the seventh floor. Upon arrival, the smell of smoke was evident however, the source was not located."
2020-001966,7/12/2020,1:41:00 AM,TAIT MCKENZIE BLDG,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2020-001969,7/12/2020,6:27:00 PM,PASSY RESIDENCE,Information,General Complaint\ Concern,A community member reported a known non-community member was loitering outside the residence after being told to leave and no further contact was desired. A description of the male was obtained.
2020-001970,7/13/2020,2:45:00 AM,PASSY RESIDENCE,Noise Complaint,Source not Located,Security responded to a noise complaint. Upon arrival all was quiet and appeared to be in order.
2020-001972,7/13/2020,4:16:00 PM,STONG COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered two insecure perimeter doors. The locks had been tampered with and were secured.
2020-001973,7/13/2020,5:45:00 PM,MCEWEN GRADUATE STUDY & RESEARCH BLDG,"Disturbance, Causing",Loitering,A Security patrol encountered two community members loitering in the building. The community members were identified and directed to leave the building.
2020-001979,7/14/2020,1:25:00 AM,YORK LIONS STADIUM,Suspicious Activity,Unfounded,Security and Toronto Police responded to investigate the sound that was believed to be multiple gunshots in the vicinity of the Stadium. Toronto Police determined the complaint to be unfounded.
2020-001975,7/14/2020,10:59:00 AM,CENTRAL SQUARE,Disorderly Behaviour,Belligerent Person,"Security and Toronto Police responded to check on the well-being of a community member who made concerning comments. The individual was identified, trespassed and escorted off campus."
2020-001974,7/14/2020,11:34:00 AM,MCEWEN GRADUATE STUDY & RESEARCH BLDG,Fire Alarm,Contractor\Const.,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be unintentional activation during maintenance."
2020-001977,7/14/2020,5:20:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure north east perimeter door. The lock had been tampered with and was secured.
2020-001982,7/14/2020,6:21:00 PM,KEELE CAMPUS,"Mischief, Under $5000",University Property,A Security patrol discovered several unauthorized tutoring services stickers displaying the University brand. The stickers were observed in several locations at the Keele campus.
2020-001984,7/15/2020,3:30:00 PM,CENTRAL SQUARE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure south perimeter door. The lock had been tampered with and was secured.
2020-001983,7/15/2020,3:45:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,"Mischief, Under $5000",Private Property,Complainant reported the rear wheel on their bicycle was damaged while secured to the bike rack outside the building.
2020-001989,7/16/2020,12:33:00 PM,KANEFF TOWER,Fire Alarm,Contractor\Const.,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be unintentional activation during maintenance.
2020-001986,7/16/2020,1:55:00 PM,FINE ARTS ROAD,Suspicious Persons,Subject not Identified,A Security patrol encountered an unknown male who was demonstrating concerning behaviour. The male refused assistance and walked away from Security. A description of the male was obtained.
2020-001987,7/16/2020,2:53:00 PM,IGNAT KANEFF BUILDING (OSGOODE HALL LAW SCHOOL),Damage,University Property,A Security patrol discovered damage to several light fixtures in the building. The cause of the damage was not determined. The Work Control Centre was notified.
2020-001988,7/16/2020,4:41:00 PM,YORK LANES OFFICES,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door to the office area. The door had been tampered with and was secured.
2020-001990,7/16/2020,6:35:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),"Mischief, Under $5000",University Property,A Security patrol discovered spray paint graffiti on the fifth floor. The Work Control Centre was notified.
2020-001992,7/17/2020,9:35:00 AM,ACCOLADE EAST,"Mischief, Under $5000",University Property,A Security patrol discovered unauthorized poster on display outside the building. The Work Control Centre was notified.
2020-001994,7/17/2020,3:54:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a sprinkler system malfunction."
2020-001995,7/17/2020,8:40:00 PM,YORK LIONS STADIUM,"Disturbance, Causing",Loitering,A Security patrol encountered two community members loitering in the stadium bleachers. They were cautioned and directed to leave the building.
2020-001996,7/17/2020,9:28:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2020-001997,7/17/2020,10:23:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Motor Vehicle Incident,Dangerous Operation,A Security patrol observed a vehicle being operated in a reckless manner inside the parking garage. A licence plate number was obtained. The occupants of the vehicle were cautioned and directed to leave campus.
2020-001998,7/18/2020,3:53:00 PM,380 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,Security responded to a noise complaint. Upon arrival all was quiet and appeared to be in order.
2020-002003,7/19/2020,10:58:00 AM,PASSY RESIDENCE,Noise Complaint,Source not Located,Security responded to a noise complaint. Upon arrival all was quiet and appeared to be in order.
2020-002008,7/20/2020,10:28:00 AM,BENNETT CENTRE FOR STUDENT SERVICES,"Mischief, Under $5000",University Property,Security responded to a report of a discarded hygiene products and excrement inside a stairwell. The Work Control Centre was notified.
2020-002009,7/20/2020,11:43:00 AM,WILLIAM SMALL CENTRE,Fire Alarm,Malicious Activation,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station. A description of the suspect was obtained."
2020-002014,7/20/2020,11:34:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint. Upon arrival, all appeared to be in order."
