Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2021-001458,6/29/2021,3:58:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure courtyard perimeter door. The lock had been tampered with and was secured.
2021-001461,6/29/2021,11:15:00 PM,KEELE CAMPUS,Damage,University Property,A university vehicle sustained damage to the front passenger side tire. The cause of the damage was not determined.
2021-001462,6/30/2021,7:31:00 AM,WINTERS COLLEGE,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male asleep in the courtyard. The male refused to provide identification and was directed to leave campus.
2021-001463,6/30/2021,3:48:00 PM,CALUMET RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The door had been tampered with and was secured.
2021-001465,6/30/2021,7:23:00 PM,FOUNDERS COLLEGE,Damage,University Property,A Security patrol discovered a damaged pane of glass in a first floor classroom window. The cause of the damage was not determined. The Work Control Centre was notified.
2021-001467,6/30/2021,9:08:00 PM,YORK LANES OFFICES,"Disturbance, Causing",Loitering,A Security patrol encountered an unknown male in a second floor office area. The male was bathing and grooming himself inside a washroom. The unidentified male was cautioned and directed to leave the building.
2021-001470,7/1/2021,10:13:00 AM,YORK LANES OFFICES,Trespass to Property Act,Non-Community Member,"A Security patrol encountered a previously trespassed non-community member loitering inside a second floor washroom. The individual was identified, cautioned and directed to leave campus."
2021-001471,7/1/2021,4:00:00 PM,CENTRAL SQUARE,Trespass to Property Act,Non-Community Member,"A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified, cautioned and directed to leave campus."
2021-001473,7/2/2021,1:30:00 PM,GLENDON COLLEGE - GREENHOUSE,Fire Alarm,Contractor\Const.,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be maintenance being conducted in the building.
2021-001474,7/2/2021,4:35:00 PM,YORK LANES OFFICES,"Disturbance, Causing",Loitering,A Security patrol encountered an unknown male loitering inside a second floor washroom. The male was cautioned and escorted out of the building.
2021-001476,7/3/2021,3:11:00 PM,TAIT MCKENZIE BLDG,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined. The Work Control Centre was notified and a fire watch initiated pending further investigation.
2021-001477,7/3/2021,11:21:00 PM,KEELE CAMPUS RESIDENCE,Information,General Complaint\ Concern,"Security responded to investigate an unknown disturbance in a residence. The complainant reported being harassed however, refused to provide information or to speak to the responding Security Officials. Upon arrival, all was quiet and appeared to be in order."
2021-001478,7/4/2021,3:33:00 AM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,"Security responded to a noise complaint. The source of the noise was determined to be emanating from inside an apartment. The leaseholder and guest were identified, cautioned and requested to lower the noise level."
2021-001479,7/4/2021,2:15:00 PM,380 ASSINIBOINE ROAD RESIDENCE,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a resident experiencing symptoms of an existing medical condition. EMS transported the individual to hospital for further medical care.
2021-001480,7/4/2021,3:09:00 PM,GLENDON COLLEGE - LOWER LOT HILL,Suspicious Persons,Subject not Identified,A Security patrol encountered two unknown males acting in a concerning manner near the bicycle rack located outside the Proctor Field House. The individuals confirmed they were attempting to remove a bicycle that appeared to be damaged and abandoned. The males were cautioned and directed to leave campus and did so without incident. Descriptions were obtained.
2021-001482,7/5/2021,4:34:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The door had been tampered with and was secured.
2021-001484,7/6/2021,1:46:00 PM,SCOTT LIBRARY,Damage,University Property,Security responded to a report of a damaged pane of glass in an exterior window. The cause of the damage was determined to be an object thrown by a lawn mower being operated in the vicinity. The Work Control Centre was notified.
2021-001485,7/6/2021,3:09:00 PM,FOUNDERS COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The door had been tampered with and was secured.
2021-001488,7/6/2021,11:05:00 PM,ACCOLADE EAST,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2021-001489,7/7/2021,1:20:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-001491,7/7/2021,11:26:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Information,General Complaint\ Concern,"Security responded to a report of an unknown disturbance in a hallway. Upon arrival, all was quiet and appeared to be in order."
2021-001493,7/8/2021,5:37:00 AM,KEELE CAMPUS RESIDENCE,"Disturbance, Causing",Common Nuisance,"Security responded to a report that a community member was causing a disturbance in a hallway. Upon arrival, all was quiet and appeared to be in order."
2021-001495,7/8/2021,11:32:00 AM,MCLAUGHLIN COLLEGE,Damage,University Property,Security responded to a report of a water leak. The cause of the damage was determined to be a water pipe that had been cut during maintenance.
2021-001496,7/8/2021,1:32:00 PM,WEST OFFICE BUILDING,"Theft, Under $5000",University Property,Complainant reported the theft of a computer docking station from a secure area. There was no evidence of forced entry.
2021-001497,7/8/2021,2:00:00 PM,VANIER LANE,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a collision between two vehicles. No injuries were reported.
2021-001500,7/9/2021,7:27:00 PM,THE POND ROAD,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a collision between two vehicles on The Pond Road near Hoover Road. No injuries were reported.
2021-001502,7/9/2021,8:44:00 PM,STEDMAN LECTURE HALLS,"Disturbance, Causing",Loitering,"A Security patrol encountered an unknown male loitering in the building. Upon approach, the individual quickly left the building. A description of the individual was obtained."
2021-001501,7/9/2021,9:02:00 PM,TATHAM HALL RESIDENCE,Smoking Complaint,Subject Not Identified,Security and Residence Life staff responded to investigate a smoking complaint. The source of the odour was not determined.
2021-001503,7/10/2021,5:13:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-001505,7/10/2021,10:12:00 PM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be emanating from inside an apartment. The leaseholder was identified and requested to lower the noise level.
2021-001507,7/11/2021,11:30:00 PM,PARKING LOT - THOMPSON ROAD VISITORS,"Mischief, Under $5000",Private Property,A community member reported their vehicle was damaged while parked on the north side of the Life Sciences Building. The passenger side exterior had been scratched the length of the vehicle.
2021-001508,7/12/2021,5:56:00 AM,320 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint. Upon arrival, all was quiet and appeared to be in order."
2021-001511,7/12/2021,2:55:00 PM,TAIT MCKENZIE BLDG,Fire Alarm,Malfunction,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction due to a water leak. The Work Control Centre was notified."
2021-001510,7/12/2021,3:17:00 PM,KEELE CAMPUS RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of personal property from a secure residence room. There was no evidence of forced entry. Housing Services was notified.
2021-001512,7/12/2021,3:58:00 PM,GLENDON COLLEGE - HILLIARD RESIDENCE,Fire Alarm,Contractor\Const.,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the unintentional activation by contractors working in the building.
2021-001513,7/12/2021,5:20:00 PM,380 ASSINIBOINE ROAD RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a bicycle that was secured to the bike rack located outside the residence. The lock had been cut.
2021-001515,7/12/2021,7:29:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Suspicious Vehicle,Subject not Identified,A Security patrol observed a vehicle that appeared to have been abandoned. The vehicle displayed expired licence plates and the vehicle had not been moved for several weeks. Parking Services was notified.
2021-001518,7/12/2021,7:36:00 PM,STEDMAN LECTURE HALLS,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered a group of individuals on the building roof without authorization. The individuals were cautioned and left the area without incident.
2021-001516,7/12/2021,7:56:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate tampering of three perimeter doors and a first floor classroom. The tampering issues were resolved and the doors secured.
2021-001524,7/12/2021,11:48:00 PM,LASSONDE BUILDING,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The door had been tampered with and was secured.
2021-001525,7/13/2021,1:09:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,"A Security patrol encountered a previously trespassed non-community member loitering inside a secure second floor office suite. The individual was identified, cautioned and escorted off campus."
2021-001526,7/13/2021,4:21:00 AM,SHOREHAM DRIVE (Off Campus),Information,Assist Police,Toronto Police contacted York Security Services and requested assistance with their investigation into an incident that occurred at an off campus location.
2021-001528,7/13/2021,8:38:00 AM,PARKING GARAGE - YORK LANES (PS1),"Mischief, Under $5000",University Property,A community member reported feces was observed in a staircase and elevator. The Work Control Centre was notified.
2021-001527,7/13/2021,8:58:00 AM,GLENDON COLLEGE - PROCTOR FIELD HOUSE,"Mischief, Under $5000",University Property,A Security patrol discovered graffiti located at the north east corner of the soccer field. The Work Control Centre was notified.
2021-001531,7/13/2021,5:09:00 PM,PARKING GARAGE - YORK LANES (PS1),"Mischief, Under $5000",University Property,A Security patrol discovered a fire extinguisher had been discharged without cause in the parking garage. York Fire Prevention was notified.
2021-001533,7/13/2021,8:53:00 PM,CALUMET COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure common room door. The door had been tampered with and was secured.
2021-001535,7/13/2021,10:46:00 PM,FIRST STUDENT CENTRE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2021-001537,7/14/2021,10:22:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male entered a second floor office suite without authorization and was loitering inside a female washroom. The unidentified male was cautioned and escorted out of the building. A description was obtained.
2021-001541,7/14/2021,5:42:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door on the Podium level. The mechanical lock assembly had been removed. The Work Control Centre was notified.
2021-001544,7/14/2021,6:38:00 PM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member loitering inside a secure lecture hall. The individual was cautioned and directed to leave the building.
2021-001543,7/14/2021,6:57:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an emergency exit door. The door had been tampered with and was secured.
2021-001546,7/15/2021,12:20:00 PM,KEELE CAMPUS RESIDENCE,Disorderly Behaviour,Unauthorized Activities,A Security patrol observed a resident grant a non-resident entry to the building in contravention of the residence guest policies. Residence Life staff was notified and the non-resident was escorted out of the building.
2021-001547,7/15/2021,2:07:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered graffiti in a hallway. A description of a suspect was obtained.
2021-001549,7/15/2021,3:08:00 PM,KANEFF TOWER,Damage,University Property,A Security patrol discovered drywall damage in a ninth floor hallway. The cause of the damage was not determined.
2021-001550,7/15/2021,11:39:00 PM,THOMPSON ROAD,Emergency Medical,Sudden Illness,"Security responded to a report of an unknown male outside the Tait McKenzie Athletic Centre who appeared to be in distress. Upon arrival, the male was conscious and exhibited signs of intoxication. The unidentified individual declined medical care and was escorted off campus."
2021-001555,7/16/2021,8:32:00 AM,STONG RESIDENCE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2021-001553,7/16/2021,1:54:00 PM,PASSY CRESCENT,Disorderly Behaviour,Fighting,"Security responded to investigate a report of two unknown males involved in a physical altercation. Upon arrival, there was no evidence of an altercation and the involved individuals had left the area. Descriptions of the individuals were obtained."
2021-001554,7/16/2021,2:51:00 PM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure basement level emergency exit door. The door had been tampered with and was secured.
2021-001560,7/16/2021,7:33:00 PM,WILLIAM SMALL CENTRE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of an individual experiencing a sudden illness. The unidentified individual was transported by EMS to hospital for further medical care.
2021-001562,7/16/2021,10:26:00 PM,VARI HALL,"Mischief, Under $5000",University Property,A Security patrol discovered graffiti written inside a stairwell. The Work Control Centre was notified.
2021-001563,7/16/2021,10:26:00 PM,VARI HALL,"Mischief, Under $5000",University Property,A Security patrol observed that unknown persons had urinated in a stairwell. The Work Control Centre was notified.
2021-001564,7/16/2021,11:33:00 PM,TATHAM HALL RESIDENCE,Disorderly Behaviour,Intoxicated Person,Security responded to a report of an unknown male loitering outside the residence. The unidentified male was exhibiting signs of intoxication. He declined to provide identification and offers of assistance before leaving campus on foot. A description of the individual was obtained.
2021-001565,7/17/2021,4:30:00 PM,YORK LANES RETAIL,Emergency Medical,Sudden Illness,"Security, Toronto Police, Toronto Fire and EMS responded to a report of an unresponsive male inside a washroom. First aid was provided on scene and EMS transported the individual, identified as a community member, to hospital for further medical care."
2021-001570,7/17/2021,7:09:00 PM,IAN MAC BLVD and NORTH WEST GATE,Emergency Medical,Sudden Illness,Security responded to check on the well- being of an unknown female who was reported to be in distress. The individual was identified as a community member and offers of assistance were declined. The community member left campus in the care of a family member.
2021-001567,7/17/2021,11:00:00 PM,CURTIS LECTURE HALLS,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure podium level perimeter door. The door had been tampered with and was secured.
2021-001571,7/18/2021,12:40:00 PM,PARKING LOT 5 - NORTH WEST GATE RESERVED,Fire (Actual),Unintentional,Security responded to a report of a garbage container fire in the parking lot. The fire was extinguished without incident. The Work Control Centre was notified.
2021-001572,7/18/2021,3:45:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be emanating from inside an apartment. The responding Security officials were unable to contact the occupant.
2021-001574,7/18/2021,5:20:00 PM,WILLIAM SMALL CENTRE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2021-001578,7/19/2021,11:58:00 AM,ACCOLADE EAST,"Theft, Under $5000",Private Property,Complainant reported the theft of camera equipment left unattended inside an insecure office.
2021-001579,7/19/2021,2:10:00 PM,90 ATKINSON ROAD RESIDENCE,"Theft, Under $5000",University Property,Complainant reported the theft of a table from a secure first floor room. There was no evidence of forced entry.
2021-001580,7/19/2021,4:57:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The lock had been tampered with. The door was secured.
2021-001581,7/19/2021,11:21:00 PM,90 ATKINSON ROAD RESIDENCE,"Mischief, Under $5000",University Property,Security responded to a report of an insecure perimeter door. The door had been tampered with. The door was secured.
2021-001585,7/20/2021,9:10:00 AM,SCOTT LIBRARY,Disorderly Behaviour,Belligerent Person,Security responded to a report that a community member acted in a belligerent manner after he was denied entry to the library for refusing to verify his identity. The individual was identified as a community member and access was granted.
2021-001583,7/20/2021,9:28:00 AM,CENTRAL SQUARE,"Disturbance, Causing",Loitering,A food services vendor reported an unknown male has been loitering in the building and making requests for free food over the past several weeks. A description of the individual was obtained.
2021-001584,7/20/2021,9:39:00 AM,CENTRAL SQUARE,Disorderly Behaviour,Unauthorized Activities,"A Security patrol encountered an unknown male loitering in the east bearpit, in contravention of university policy for wearing a face covering while inside a building. The individual, identified as a community member refused to comply with the policy and was directed to leave the building."
2021-001586,7/20/2021,12:47:00 PM,PARKING GARAGE - YORK LANES (PS1),"Mischief, Under $5000",University Property,Security responded to a report that two fire extinguishers had been discharged without cause in the elevator lobby. A third extinguisher had been discarded in a garbage container. The extinguishers were secured and Fire Prevention notified.
2021-001587,7/20/2021,3:45:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The door had been tampered with and sustained damage. The door was secured.
2021-001588,7/20/2021,7:04:00 PM,COLONNADE,"Mischief, Under $5000",University Property,A Security patrol discovered a protective cover for a fire system pull station had been tampered with.
2021-001589,7/20/2021,10:58:00 PM,COLONNADE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep in the North Colonnade. The individual was identified and directed to leave campus.
2021-001590,7/21/2021,10:45:00 AM,LIFE SCIENCES BUILDING,Smoking Complaint,Subject Not Identified,"Security responded to a smoking complaint on the fourth floor. Upon arrival, all appeared to be in order and the source of the smoke was not determined."
2021-001591,7/21/2021,2:59:00 PM,ALUMNI STADIUM PLAYING FIELD,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered a group of individuals using the playing field without authorization. The group was cautioned and left the field without incident.
2021-001592,7/21/2021,3:30:00 PM,PASSY RESIDENCE,Information,General Complaint\ Concern,A community member reported receiving offensive mail in their mailbox from an unknown source.
2021-001593,7/21/2021,3:45:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The lock had been tampered with. The door was secured.
2021-001594,7/21/2021,4:16:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Information,General Complaint\ Concern,Security responded to a report that unknown persons made unwanted comments towards a community member. The complainant declined to provide further information to the responding Security Officials. A search of the residence was conducted and all appeared to be in order.
2021-001595,7/21/2021,5:47:00 PM,TAIT MCKENZIE BLDG,Damage,University Property,A Security patrol discovered damage to the magnetic lock on a field house emergency exit door.
2021-001596,7/21/2021,6:52:00 PM,TORONTO TRACK and FIELD CENTRE,Harassment,General,"Security responded to a report that an unknown male entered the track area without authorization and harassed several patrons. The individual, identified as a previously trespassed non-community member, was cautioned and escorted off campus."
2021-001603,7/21/2021,8:20:00 PM,ALUMNI STADIUM PLAYING FIELD,Emergency Medical,Injury,"Security and EMS responded to a report of an individual with a wrist injury. The individual, identified as a non-community member, was transported to hospital for further medical care."
2021-001607,7/21/2021,9:47:00 PM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered an individual loitering inside a second floor office suite. The individual was identified as a non- community member and directed to leave the building.
2021-001608,7/22/2021,12:08:00 AM,GLENDON COLLEGE - WOOD RESIDENCE,Suspicious Persons,Subject not Identified,A Security patrol observed suspicious activity inside the residence. A search of the building was conducted with negative results.
2021-001612,7/22/2021,2:58:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Information,General Complaint\ Concern,A Security patrol observed a concerning poster on display in a fourth floor hallway.
2021-001614,7/22/2021,5:19:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The door had been tampered. The door was secured.
2021-001615,7/22/2021,8:03:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered two insecure doors. A perimeter door and a laundry room door had been tampered with. The doors were secured.
2021-001620,7/22/2021,10:38:00 PM,CENTRAL SQUARE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure courtyard door. The door had been tampered with. The door was secured.
2021-001622,7/23/2021,3:06:00 AM,VARI HALL,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering inside a second floor washroom. The individual was cautioned and directed to leave the building. A description was obtained.
2021-001623,7/23/2021,3:44:00 AM,ALBANY ROAD,Suspicious Vehicle,Subject Identified,A Security patrol encountered a suspicious vehicle parked outside the Central Utilities Building. The occupant was identified as a community member and all was reported to be in order.
2021-001624,7/23/2021,10:10:00 AM,SCOTT LIBRARY,Disorderly Behaviour,Belligerent Person,Security responded to a report that a community member acted in a belligerent manner after she was denied entry to the library. The individual was cautioned and directed to leave the building.
2021-001629,7/23/2021,3:43:00 PM,KANEFF TOWER,Damage,University Property,A Security patrol discovered drywall damage in an eighth floor hallway. The cause of the damage was not determined.
2021-001630,7/23/2021,3:48:00 PM,PARKING LOT - VANIER VISITORS,"Mischief, Under $5000",University Property,A Security patrol discovered damage to a vehicle charging station located in the parking lot. Parking Services was notified.
2021-001632,7/23/2021,8:07:00 PM,CALUMET RESIDENCE,"Mischief, Under $5000",Private Property,A Security patrol discovered a damaged washing machine in the residence laundry room. The cause of the damage was not determined. Housing Services was notified.
2021-001634,7/23/2021,11:24:00 PM,COLONNADE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering in the North Colonnade. The individual was identified and directed to leave campus.
2021-001637,7/23/2021,11:57:00 PM,POND ROAD and SENTINEL RD,Harassment,General,A community member reported being harassed and followed by an unknown male. A description of the male was obtained.
2021-001636,7/24/2021,12:38:00 AM,PARKING GARAGE - YORK LANES (PS1),Suspicious Persons,Subject Identified,Security responded to a report of an unknown male acting in a suspicious manner in the parking garage. The individual was identified as a non- community member and directed to leave campus.
2021-001642,7/25/2021,12:38:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep inside a lecture hall. The individual was identified and directed to leave the building.
2021-001649,7/25/2021,1:15:00 AM,TATHAM HALL RESIDENCE,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered a resident permitting a non-resident to enter the building in contravention of the residence guest policy. The resident was cautioned and the non-community member escorted out of the building. Residence Life staff was notified.
2021-001651,7/25/2021,10:12:00 PM,STONG RESIDENCE,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2021-001652,7/26/2021,7:01:00 AM,WILLIAM SMALL CENTRE,Suspicious Package\Item,Received by Mail,A community member reported receiving a concerning letter from a known non- community member. No threats were made.
2021-001653,7/26/2021,8:50:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member loitering inside a third floor washroom. The individual was identified and directed to leave campus.
2021-001655,7/26/2021,11:16:00 AM,YORK LANES RETAIL,"Disturbance, Causing",Common Nuisance,Security responded to a report of an unknown male was causing a disturbance outside the Shoppers Drug Mart. The male was identified as a non-community member and directed to leave the building.
2021-001654,7/26/2021,11:22:00 AM,ROSS BUILDING - NORTH TOWER,Break & Enter,University Property,A community member reported an office suite door had been forced open. The entry door and lock mechanism had sustained damage. The contents of the suite had not been tampered with. Facilities staff attended and repaired the door.
2021-001656,7/26/2021,1:51:00 PM,TATHAM HALL RESIDENCE,Disorderly Behaviour,Unauthorized Activities,"A Security patrol encountered a known non-community member attempting to enter the residence without authorization. When confronted, the individual quickly left the building."
2021-001660,7/26/2021,3:55:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure courtyard emergency exit door. The lock had been tampered with. The door was secured.
2021-001661,7/26/2021,4:02:00 PM,ROSS BUILDING - SOUTH TOWER,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure perimeter door. The lock had been tampered with. The door was secured.
2021-001662,7/26/2021,7:35:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Caution Issued,Security responded to a smoking complaint. The source was located and the leaseholder identified.
2021-001663,7/26/2021,11:37:00 PM,PARKING GARAGE - YORK LANES (PS1),"Mischief, Under $5000",University Property,A Security patrol discovered unknown persons had discharged a fire extinguisher without cause in the parking garage. York Fire Prevention was notified.
2021-001666,7/27/2021,7:59:00 AM,ALBANY ROAD,Suspicious Vehicle,Subject Identified,A Security patrol encountered an unknown male asleep in a vehicle. The individual was identified as a community member. The individual declined offers for assistance and left campus.
2021-001664,7/27/2021,11:02:00 AM,LASSONDE BUILDING,"Theft, Under $5000",Private Property,A contractor reported the theft of a power tool battery left unattended in the lobby.
2021-001665,7/27/2021,4:04:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered two insecure emergency exit doors. The doors had been tampered with. The doors were secured.
2021-001669,7/27/2021,4:18:00 PM,KEELE CAMPUS,Harassment,General,"A community member reported being harassed and followed while on campus by a group of unknown males. Descriptions of the males were obtained. The community member was provided with information on The Centre for Sexual Violence Response and Education, community resources and other campus services."
2021-001668,7/27/2021,4:30:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered deliberate damage to a cigarette receptacle located outside the building.
2021-001670,7/27/2021,8:49:00 PM,PASSY RESIDENCE,"Theft, Under $5000",Private Property,A community member reported the theft of a package that was delivered and left unattended in the mailroom.
2021-001671,7/27/2021,10:49:00 PM,320 ASSINIBOINE ROAD RESIDENCE,Trespass to Property Act,Non-Community Member,"Security responded to a request for assistance from an individual in the residence lobby. Upon arrival, the individual was identified as a previously trespassed non-community member. The individual was provided with information on community support services and was escorted off campus."
2021-001672,7/28/2021,12:06:00 AM,380 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint outside the residence. Upon arrival, all was quiet and appeared to be in order."
2021-001673,7/28/2021,5:21:00 AM,FOUNDERS COLLEGE,Suspicious Persons,Subject not Identified,"Security responded to a report of a group of unknown individuals acting in a suspicious manner on the second floor. Upon arrival, all was quiet and appeared to be in order. Descriptions were obtained."
2021-001674,7/28/2021,8:50:00 AM,LASSONDE BUILDING,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male asleep on a bench located in a first floor hallway. The male was identified as a previously trespassed non- community member and directed to leave the building.
2021-001676,7/28/2021,5:46:00 PM,360 ASSINIBOINE ROAD RESIDENCE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not determined.
2021-001681,7/29/2021,1:23:00 AM,360 ASSINIBOINE ROAD RESIDENCE,Noise Complaint,Source not Located,"Security responded to a noise complaint outside the residence. Upon arrival, all was quiet and appeared to be in order."
2021-001679,7/29/2021,1:33:00 AM,VARI HALL,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male loitering on the third floor. The individual was identified as a previously trespassed non-community member and directed to leave campus.
2021-001680,7/29/2021,2:00:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be emanating from inside an apartment. The leaseholder was identified and requested to lower the noise level.
2021-001682,7/29/2021,9:51:00 AM,KEELE CAMPUS,Harassment,By Email\Text Message,A community member reported receiving several nuisance emails from an unknown person.
2021-001687,7/29/2021,12:29:00 PM,WILLIAM SMALL CENTRE,"Theft, Under $5000",University Property,"A Security Services patrol bicycle was stolen from a first floor hallway. The suspect, identified as a non-community member was arrested by Toronto Police a short time later. The property was recovered and had sustained damage."
2021-001683,7/29/2021,12:56:00 PM,KEELE CAMPUS,Harassment,General,"A community member reported being harassed by an unknown male on multiple occasions. A description of the male was obtained. A description of the male was obtained. The community member was provided with information on The Centre for Sexual Violence Response and Education, community resources and other campus services."
2021-001689,7/29/2021,5:16:00 PM,VANIER COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure emergency exit door. The door had been tampered with. The door was secured.
2021-001690,7/29/2021,7:48:00 PM,PASSY RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered insecure doors leading to a laundry facility. The doors had been tampered with. The doors were secured.
2021-001695,7/30/2021,1:09:00 AM,VARI HALL,"Mischief, Under $5000",University Property,A Security patrol discovered an insecure mechanical room on the basement level. The door lock had been tampered with and several graffiti tags were observed inside the room. The door was secured and the Work Control Centre was notified.
2021-001696,7/30/2021,3:56:00 AM,GLENDON COLLEGE - YORK HALL,Fire Alarm,Unknown Cause,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined.
2021-001697,7/30/2021,3:07:00 PM,PASSY RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of a package that had been delivered and left unattended outside their apartment door.
2021-001701,7/30/2021,4:50:00 PM,PETRIE SCIENCE and ENGINEERING BUILDING,Hazardous Substance,Gas leak,Security and the Facilities Manager responded to a report of a liquid nitrogen leak in a secure storage room. The container was turned off without incident and further action was not required.
2021-001700,7/30/2021,5:34:00 PM,ATKINSON ROAD,Firearm,Sound of Gunshots,Security assisted Toronto Police and established a security perimeter following a report of gun shots in the vicinity of Atkinson Road and The Pond Road. The area was cordoned off while police investigated and determined there was no ongoing threat to public safety. The area was reopened and resumed normal operations a short time later.
2021-001702,7/30/2021,10:40:00 PM,PARKING LOT 5V - NORTH WEST GATE VISITORS,Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked in the lot. A suspect vehicle licence plate number was obtained.
