Incident Number,Reported Date,Reported Time,Location,Category,Subcategory,Incident Summary
2019-002186,9/2/2019,4:24:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet and cellular phone left unattended in an insecure locker.
2019-002187,9/2/2019,5:42:00 PM,GLENDON COLLEGE – WOOD RESIDENCE,Suspicious Persons,Subject not Identified,A community member reported an unknown female entered the residence lobby area and acted in a concerning manner. A description of the female was obtained.
2019-002189,9/2/2019,9:18:00 PM,CALUMET RESIDENCE,"Theft, Under $5000",Private Property,Complainant reported the theft of clothing items left unattended in the lobby.
2019-002190,9/2/2019,9:38:00 PM,FOUNDERS COLLEGE,Emergency Medical,Injury,Security and EMS responded to a report of a community member with an ankle injury. EMS transported the individual to hospital for further medical care.
2019-002192,9/2/2019,11:46:00 PM,MCEWEN GRADUATE STUDY & RESEARCH BUILDING,"Disturbance, Causing",Loitering,Security responded to a report that an unknown male was asleep inside a first floor classroom. The male was identified as a non-community member and was directed to leave the building.
2019-002191,9/3/2019,12:12:00 AM,GLENDON COLLEGE,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member became ill after using cannabis. EMS assessed the individual on scene. Further medical care was declined.
2019-002195,9/3/2019,10:06:00 AM,PASSY RESIDENCE,Harassment,General,A resident reported ongoing harassment by another resident.
2019-002194,9/3/2019,10:14:00 AM,STONG COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered several community members staying in a third floor classroom. Graffiti and garbage debris were strewn throughout the room. The Work Control Centre was notified for clean up.
2019-002196,9/3/2019,12:36:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),"Theft, Under $5000",Private Property,Complainant reported the theft of personal property from a parked vehicle. There was no evidence of forced entry to the vehicle.
2019-002197,9/3/2019,1:06:00 PM,COLONNADE - NORTH,Disorderly Behaviour,Belligerent Person,Security responded to a report that an unknown male was causing a disturbance. The male was identified as a non-community member and directed to leave campus.
2019-002198,9/3/2019,1:07:00 PM,VARI HALL,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member attended an office area. The individual was identified and directed to leave campus.
2019-002200,9/3/2019,4:00:00 PM,KEELE CAMPUS,Uttering Threats,Unknown Suspect,Security responded to investigate a report of threatening messages posted on a social media platform.
2019-002206,9/3/2019,5:17:00 PM,KEELE CAMPUS RESIDENCE,Information,Health & Safety Concern,Security responded to check on the well- being of a community member. The individual was located and all was in order.
2019-002207,9/3/2019,7:10:00 PM,SCHULICH SCHOOL OF BUSINESS,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering in the building. A description was obtained.
2019-002202,9/3/2019,7:52:00 PM,VARI HALL,"Disturbance, Causing",Soliciting,A community member reported an unknown male was soliciting money for an unknown charity. A description of the male was obtained.
2019-002203,9/3/2019,10:55:00 PM,TATHAM HALL RESIDENCE,Fire Alarm,Smoking Prohibited Area,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be individuals vaping in the fourth floor common room.
2019-002204,9/3/2019,11:36:00 PM,CAMPUS WALK,Emergency Medical,Sudden Illness,Security responded to a report that a community member experiencing a sudden illness outside the south entrance of the Steacie Science Building. Medical care was declined and the individual was left in the care of a friend.
2019-002208,9/4/2019,9:39:00 AM,CALUMET COLLEGE,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a first floor classroom.
2019-002209,9/4/2019,10:05:00 AM,CENTRAL SQUARE,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a vendor was experiencing a sudden illness. EMS transported the individual to hospital for further medical care.
2019-002213,9/4/2019,11:23:00 AM,FOUNDERS COLLEGE,"Disturbance, Causing",Soliciting,Complainant reported a group of individuals were soliciting for an off campus business without authorization.
2019-002210,9/4/2019,11:34:00 AM,BENNETT CENTRE FOR STUDENT SERVICES,Suspicious Persons,Subject not Identified,A community member reported an unknown male attended an office area and acted in a concerning manner. A description of the male was obtained.
2019-002214,9/4/2019,1:32:00 PM,ROSS BUILDING - SOUTH TOWER,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet left unattended in an insecure office.
2019-002217,9/4/2019,3:28:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",Private Property,Complainant reported their vehicle was damaged while parked in the garage.
2019-002219,9/4/2019,4:06:00 PM,FOUNDERS COLLEGE,Emergency Medical,Existing Medical Condition,Security and EMS responded to a report of a community member experiencing symptoms of an existing medical condition. EMS assessed the individual on scene. Further medical care was declined.
2019-002220,9/4/2019,5:27:00 PM,KEELE CAMPUS,Harassment,Social Media,A community member reported being harassed by another community member.
2019-002221,9/4/2019,5:38:00 PM,ARBORETUM LANE,Emergency Medical,Injury,Security and EMS responded to a report of a community member with a shoulder injury. EMS transported the individual to hospital for further medical care.
2019-002223,9/4/2019,7:31:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the fitness centre.
2019-002225,9/4/2019,10:16:00 PM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member loitering in a second floor office suite. The individual was identified and directed to leave the building.
2019-002226,9/4/2019,10:24:00 PM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered a known non- community member asleep in a second floor hallway. The individual was identified and directed to leave the building.
2019-002229,9/5/2019,12:36:00 AM,KEELE CAMPUS RESIDENCE,Emergency Medical,Existing Medical Condition,"Security, Residence Life staff and Toronto Police responded to assist a community member in distress. The community member was transported to hospital for further medical care."
2019-002230,9/5/2019,7:11:00 AM,CENTRAL SQUARE,"Theft, Under $5000",Private Property,Security responded to a report that an unknown male entered a food storage area and removed a box of merchandise. A description of the suspect was obtained.
2019-002231,9/5/2019,7:21:00 AM,ACCOLADE EAST,Fire Alarm,Contractor\ Maintenance,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be unintentional activation during system maintenance."
2019-002232,9/5/2019,9:04:00 AM,ROSS BUILDING - SOUTH TOWER,"Theft, Under $5000",Private Property,Complainant reported the theft of a backpack left unattended in an office reception area.
2019-002233,9/5/2019,9:47:00 AM,CAMPUS WALK,"Theft, Attempt",Private Property,A community member reported observing an unknown male reach into a purse of an unknown female while they were seated on a bench outside the Petrie Science and Engineering building. The complainant confronted the suspect who quickly fled the scene. A description of the suspect was obtained.
2019-002237,9/5/2019,10:12:00 AM,KEELE CAMPUS,Information,Assist Police,Toronto Police requested assistance with their ongoing investigation of a non- community member known to frequent the Keele campus.
2019-002236,9/5/2019,11:49:00 AM,WILLIAM SMALL CENTRE,Disorderly Behaviour,Belligerent Person,Security responded to a report that a community member attended an office area and acted in a belligerent manner towards the occupants. A description of the individual was obtained.
2019-002235,9/5/2019,12:35:00 PM,SCHULICH SCHOOL OF BUSINESS,Trespass to Property Act,Non-Community Member,Security responded to a report that a previously trespassed non-community member was observed in the library. The individual was identified and escorted off campus.
2019-002239,9/5/2019,2:15:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,Suspicious Persons,Subject not Identified,Security responded to a report that an unknown male attended an office area and acted in a concerning manner. A description of the male was obtained.
2019-002240,9/5/2019,3:38:00 PM,GLENDON COLLEGE – YORK HALL,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet left unattended in a third floor classroom.
2019-002241,9/5/2019,8:21:00 PM,PASSY RESIDENCE,Noise Complaint,Source not Located,Security responded to a noise complaint. The source of the noise was not determined.
2019-002243,9/5/2019,9:45:00 PM,VARI HALL,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in a first floor classroom.
2019-002245,9/5/2019,11:36:00 PM,COMMON ROAD,"Mischief, Under $5000",University Property,A Security patrol discovered damage to the reflecting pool fountain on the Harry Arthurs Commons. The fountain was shut down for repairs.
2019-002248,9/6/2019,3:10:00 AM,VANIER COLLEGE,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the courtyard.
2019-002249,9/6/2019,5:10:00 AM,FIRST STUDENT CENTRE,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member asleep on the fourth floor. The male was identified and directed to leave the building.
2019-002250,9/6/2019,7:30:00 AM,ATKINSON COLLEGE,Fire Alarm,Contractor\ Maintenance,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be contractors working in the building."
2019-002251,9/6/2019,8:28:00 AM,WILLIAM SMALL CENTRE,"Theft, Under $5000",Private Property,Complainant reported the theft of food items from a storage room. A description of the suspect was obtained.
2019-002252,9/6/2019,8:35:00 AM,WILLIAM SMALL CENTRE,Disorderly Behaviour,Belligerent Person,Security responded to a report that an unknown male attended an office area and acted in a belligerent manner towards two community members. A description of the suspect was obtained.
2019-002253,9/6/2019,11:06:00 AM,KEELE CAMPUS,Fraud,Personation,A community member reported the unauthorized use of their student account.
2019-002254,9/6/2019,1:29:00 PM,PARKING LOT - YORK BLVD,Motor Vehicle Incident,Collision \No Injuries,A community member reported their vehicle was struck and damaged by a parking gate arm. No injuries were reported. Parking Services was notified.
2019-002257,9/6/2019,3:23:00 PM,TATHAM HALL RESIDENCE,Suspicious Persons,Subject not Identified,A community member reported an unknown male who acted in a suspicious manner. A description of the male was obtained.
2019-002258,9/6/2019,5:18:00 PM,PARKING GARAGE - YORK LANES (PS1),Information,Parking Complaint,Complainant reported a vehicle exited the garage without making payment for parking. A licence plate number was obtained.
2019-002260,9/6/2019,5:25:00 PM,ROSS BUILDING - SOUTH TOWER,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member lost consciousness and struck their head. First aid was provided on scene. EMS transported the community member to hospital for further medical care.
2019-002259,9/6/2019,5:32:00 PM,CURTIS LECTURE HALLS,Harassment,Criminal\ Stalking,Security responded to a report that a community member was being harassed by another known community member.
2019-002261,9/6/2019,6:37:00 PM,TAIT MCKENZIE BLDG,Emergency Medical,Injury,Security and EMS responded to a report that an unidentified male sustained a nose injury while playing basketball. EMS transported the individual to hospital for further medical care.
2019-002262,9/6/2019,7:54:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),Information,Health & Safety Concern,Security responded to check on the well- being of a community member who appeared to be in distress. The community member advised all was in order and further assistance was declined.
2019-002264,9/6/2019,8:32:00 PM,ALUMNI STADIUM FIELD HOUSE,Emergency Medical,Injury,Security and EMS responded to a report that a visiting rugby player sustained a back injury. EMS transported the individual to hospital for further medical care.
2019-002263,9/6/2019,8:47:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the fieldhouse.
2019-002267,9/7/2019,1:01:00 AM,GLENDON COLLEGE – WOOD RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life staff and EMS responded to a report of a community member experiencing a sudden illness. EMS transported the individual to hospital for further medical care."
2019-002266,9/7/2019,1:08:00 AM,GLENDON COLLEGE – HILLIARD RESIDENCE,Fire Alarm,Malfunction,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be a malfunction.
2019-002268,9/7/2019,1:20:00 AM,GLENDON COLLEGE,Emergency Medical,Sudden Illness,Security and EMS responded to a report of a community member experiencing symptoms of anxiety. EMS assessed the individual on scene. Further medical care was declined.
2019-002270,9/7/2019,8:26:00 PM,PARKING LOT 1 - YORK BLVD,Robbery,With a Weapon,"Security and Toronto Police responded to a report of a robbery. Two community members reported that while waking in the parking lot, they were approached by a group of unknown males who attempted to rob them. One community member sustained minor injuries. Two suspects were arrested by Police. The Toronto Police investigation is ongoing."
2019-002269,9/8/2019,12:19:00 AM,MCLAUGHLIN COLLEGE,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in the northwest perimeter door. The Work Control Centre was notified.
2019-002275,9/8/2019,6:44:00 PM,WINTERS COLLEGE,"Theft, Under $5000",Private Property,Complainant reported the theft of computer equipment and other personal property left unattended in a basement level room. There was no evidence of forced entry.
2019-002276,9/8/2019,7:17:00 PM,KEELE CAMPUS,Domestic Dispute,Community Member,"Security and Toronto Police responded to a report that a community member was being harassed and followed both on and off campus by a known community member. The complainant has been provided with information on the Office of Student Community Relations, community resources and other campus services."
2019-002277,9/8/2019,10:26:00 PM,WINTERS COLLEGE,"Theft, Under $5000",Private Property,Complainant reported the theft of personal property from a basement level room. There was no evidence of forced entry. A description of the suspect was obtained.
2019-002278,9/9/2019,7:04:00 AM,PASSY RESIDENCE,Fire Alarm,Malicious Activation,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station."
2019-002279,9/9/2019,7:47:00 AM,WILLIAM SMALL CENTRE,Information,Health & Safety Concern,Security and Toronto Police responded to a report of a concerning graffiti written in a stairwell. The Work Control Centre was notified for clean up.
2019-002280,9/9/2019,12:02:00 PM,KEELE CAMPUS,"Mischief, Under $5000",University Property,A Security patrol reported paint damage on the driver side fender of a security vehicle.
2019-002281,9/9/2019,12:08:00 PM,KEELE CAMPUS,Fraud,Debit\Credit Card,A community member reported the unauthorized use of a YU card.
2019-002282,9/9/2019,12:14:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the third floor.
2019-002285,9/9/2019,1:56:00 PM,BENNETT CENTRE FOR STUDENT SERVICES,Harassment,Criminal\ Stalking,A community member reported being harassed both on and off campus by a known community member.
2019-002286,9/9/2019,3:38:00 PM,ACCOLADE EAST,Suspicious Persons,Subject not Identified,Security responded to a report that an unknown male was soliciting the sale of locker rentals to community members without authorization. A description of the male was obtained.
2019-002287,9/9/2019,4:00:00 PM,KEELE CAMPUS,Hate Incident,Non- Threatening,A community member reported observing several hate based stickers on display in several Keele campus building. The Work Control Centre was notified.
2019-002288,9/9/2019,4:13:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Fraud,Parking Related,Complainant reported a vehicle exited the parking garage behind another vehicle without making payment for parking.
2019-002291,9/9/2019,5:21:00 PM,IAN MAC BLVD and FOUNDERS RD,Motor Vehicle Incident,Collision \No Injuries,Security responded to a report of a collision that involved a university vehicle and a private vehicle. No injuries were reported.
2019-002290,9/9/2019,5:27:00 PM,COLONNADE,Suspicious Persons,Subject not Identified,Security responded to a report that a community member had been followed by an unknown male while walking from the North Colonnade to Vanier College. A description of the male was obtained.
2019-002292,9/9/2019,6:29:00 PM,YORK LANES OFFICES,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet left unattended in a second floor conference room.
2019-002293,9/9/2019,8:36:00 PM,CURTIS LECTURE HALLS,Damage,University Property,A Security patrol discovered a damaged pane of glass in the northwest perimeter door. The cause of the damage was not determined. The Work Control Centre was notified.
2019-002295,9/9/2019,10:24:00 PM,HOOVER HOUSE,"Mischief, Under $5000",University Property,A Security patrol discovered damage to the east exterior siding on the Hoover House. The Work Control Centre was notified.
2019-002296,9/9/2019,10:43:00 PM,YORK LANES RETAIL,Suspicious Persons,Subject not Identified,Security and Toronto Police responded to a report that an unknown male followed a community member from York Lanes to Vanier College. A description of the male was obtained.
2019-002299,9/10/2019,7:36:00 AM,360 ASSINIBOINE ROAD RESIDENCE,Information,Health & Safety Concern,Security and Toronto Police responded to check on the well-being of a community member. The individual was located and police determined that all was in order.
2019-002300,9/10/2019,9:42:00 AM,PARKING LOT - VANIER VISITORS,Motor Vehicle Incident,Fail to Remain,A community member reported a vehicle struck a parked vehicle and left the scene without reporting the incident. A licence plate number of the suspect vehicle was obtained.
2019-002301,9/10/2019,11:13:00 AM,PARKING LOT - VANIER VISITORS,Motor Vehicle Incident,Fail to Remain,A community member reported their vehicle was struck and damaged while parked in the garage.
2019-002302,9/10/2019,11:35:00 AM,IAN MACDONALD BLVD & YORK BLVD,Motor Vehicle Incident,Collision\Injuries,"Security, Toronto Police and EMS responded to a report that a pedestrian had been struck by a vehicle that left the scene. The pedestrian declined medical care. A licence plate number was obtained."
2019-002303,9/10/2019,12:18:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the fourth floor.
2019-002304,9/10/2019,12:51:00 PM,ACCOLADE EAST,Emergency Medical,Sudden Illness,Security and EMS responded to a report of an individual experiencing an allergic reaction. An unidentified individual was transported off campus by EMS.
2019-002305,9/10/2019,1:42:00 PM,YORK LANES RETAIL,Information,Security Escort,Security provided an escort for EMS to the Apple Tree Medical Centre. Further information was not provided.
2019-002308,9/10/2019,2:00:00 PM,ROSS BUILDING - SOUTH TOWER,Disorderly Behaviour,Belligerent Person,Complainant reported an individual attended a lecture without authorization and acted in a belligerent manner.
2019-002306,9/10/2019,2:08:00 PM,PASSY RESIDENCE,Fire Alarm,Contractor\ Const.,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be contractors working on the second floor."
2019-002307,9/10/2019,2:33:00 PM,PARKING LOT - YORK BLVD NORTH,Damage,Private Property,Complainant reported their vehicle was damaged while parked in the lot. The cause of the damage was not determined.
2019-002309,9/10/2019,2:36:00 PM,PASSY RESIDENCE,Fire Alarm,Unknown Cause,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined."
2019-002313,9/10/2019,6:13:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a cellular phone left unattended in the fieldhouse.
2019-002314,9/10/2019,7:13:00 PM,GLENDON COLLEGE,Damage,University Property,A Security patrol discovered damage to the front passenger side bumper of a university vehicle. The cause of the damage was not determined.
2019-002315,9/10/2019,7:59:00 PM,CALUMET RESIDENCE,"Mischief, Under $5000",University Property,A Security patrol discovered a smashed pane of glass in a perimeter door. The Work Control Centre was notified.
2019-002319,9/10/2019,9:21:00 PM,YORK LANES RETAIL,"Theft, Under $5000",Private Property,Complainant reported the theft of a wallet while inside a York Lanes restaurant.
2019-002318,9/10/2019,9:35:00 PM,HARRY ARTHURS COMMON,Emergency Medical,Slip\Trip\Fall,Security and EMS responded to a report that a community member tripped and fell on the north side of the Harry Arthurs Common. First aid was provided on scene. Further medical care was declined.
2019-002320,9/11/2019,9:32:00 AM,ROSS BUILDING - SOUTH TOWER,"Theft, Under $5000",Private Property,Complainant reported the theft of computer equipment left unattended in a sixth floor lounge.
2019-002322,9/11/2019,1:10:00 PM,CENTRE FOR FILM and THEATRE,Fraud,Cash\Currency,A community member reported being defrauded of a quantity of money by an unknown male who offered locker rentals without authorization. A description of the suspect was obtained.
2019-002323,9/11/2019,1:14:00 PM,ROSS BUILDING - SOUTH TOWER,Information,Health & Safety Concern,A community member expressed a concern for the well-being of a former community member after the individual attended a lecture and made concerning comments.
2019-002325,9/11/2019,7:50:00 PM,WILLIAM SMALL CENTRE,Uttering Threats,Unknown Suspect,Complainant reported receiving a threatening email message from an unknown person.
2019-002326,9/11/2019,8:20:00 PM,SCOTT LIBRARY,Suspicious Persons,Subject not Identified,Security responded to a report that an unknown male wearing a costume was observed in the library. A description of the male was obtained.
2019-002327,9/11/2019,9:10:00 PM,SECOND STUDENT CENTRE,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the second floor.
2019-002329,9/12/2019,12:08:00 AM,YORK LANES RETAIL,Disorderly Behaviour,Belligerent Person,Security responded to a report that an unknown female was acting in a belligerent manner inside a York Lanes restaurant. The female was identified as a community member and directed to leave campus for the remainder of the night.
2019-002330,9/12/2019,9:42:00 AM,90 ATKINSON ROAD RESIDENCE,Fire Alarm,Contractor\ Maintenance,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the unintentional activation during system maintenance."
2019-002331,9/12/2019,11:50:00 AM,PARKING LOT - ATKINSON COLLEGE MEDICAL,Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked in the lot. A description of the suspect vehicle and a licence plate number were obtained.
2019-002346,9/12/2019,2:00:00 PM,KEELE CAMPUS RESIDENCE,Harassment,Criminal\ Stalking,A community member reported ongoing harassment by another community member.
2019-002333 ,9/12/2019,3:26:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the second floor.
2019-002335,9/12/2019,6:11:00 PM,TAIT MCKENZIE BLDG,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended in the fieldhouse.
2019-002334,9/12/2019,5:04:00 PM,FIRST STUDENT CENTRE,"Disturbance, Causing",Dispute,"Security responded to a report of a dispute between a group of community members. Members of the groups were identified, cautioned and directed to leave the area."
2019-002336,9/12/2019,8:46:00 PM,SCOTT LIBRARY,Fire Alarm,Unknown Cause,"Security, York Fire Prevention and Toronto Fire responded to a fire alarm. The cause of the alarm was not determined."
2019-002337,9/12/2019,9:37:00 PM,VARI HALL,Disorderly Behaviour,Belligerent Person,Security responded to a report that an unknown female was acting in a belligerent manner towards several community members on the Harry Arthurs Common near Vari Hall. A description of the female was obtained.
2019-002338,9/12/2019,11:39:00 PM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located and the leaseholder was requested to lower the noise level.
2019-002339,9/12/2019,11:41:00 PM,MCLAUGHLIN COLLEGE,Trespass to Property Act,Non-Community Member,Security responded to a report of an unknown male acting in a suspicious manner in the building. The male was identified as a previously trespassed non- community member and was escorted off campus.
2019-002340,9/13/2019,5:25:00 AM,BENNETT CENTRE FOR STUDENT SERVICES,Disorderly Behaviour,Intoxicated Person,Security and Toronto Police responded to a report of an intoxicated male in the first floor lobby. The male was unable to provide identification and was escorted off campus by police.
2019-002341,9/13/2019,8:09:00 AM,WILLIAM SMALL CENTRE,"Mischief, Under $5000",University Property,A Security patrol discovered paint scratched on the passenger side fender of a university vehicle.
2019-002342,9/13/2019,9:35:00 AM,ROSS PODIUM,Harassment,General,A community member reported being harassed and followed by another known community member.
2019-002343,9/13/2019,9:49:00 AM,FARQUHARSON BUILDING,"Theft, Under $5000",Private Property,"Security and Toronto Police responded to a report of a theft by an unknown male. The property was recovered and the suspect fled the scene. Pursuant to an ongoing police investigation, a suspect was identified and arrested by police."
2019-002344,9/13/2019,11:00:00 AM,ACCOLADE WEST,"Mischief, Under $5000",Private Property,Complainant reported his laptop computer was damaged while left unattended in a second floor classroom.
2019-002348,9/13/2019,4:09:00 PM,MCLAUGHLIN COLLEGE,"Disturbance, Causing",Indecent Exhibition,"A Security patrol encountered two individuals engaged in sexual activity inside a classroom. Both individuals, identified as community members confirmed their involvement was consensual. They were cautioned and directed to leave the building."
2019-002351,9/14/2019,12:33:00 AM,MCLAUGHLIN COLLEGE,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member in the building. The individual was identified and directed to leave the building.
2019-002353,9/14/2019,1:23:00 AM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member asleep in a first floor classroom. The male was directed to leave the building.
2019-002352,9/14/2019,1:38:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a known non- community member asleep inside a lecture hall. The individual was identified and directed to leave the building.
2019-002354,9/14/2019,1:53:00 AM,VARI HALL,"Disturbance, Causing",Loitering,A Security patrol encountered two individuals loitering inside a lecture hall. Loud music and the odour of smoke was observed. A community member and a non- community member were identified and directed to leave the building.
2019-002350,9/14/2019,1:55:00 AM,CURTIS LECTURE HALLS,"Disturbance, Causing",Loitering,A Security patrol encountered a non- community member asleep inside a lecture hall. The individual was unable to provide identification and was directed to leave the building.
2019-002355,9/14/2019,4:11:00 AM,VANIER RESIDENCE,Emergency Medical,Sudden Illness,"Security, Residence Life staff, Toronto Fire and EMS responded to a report of an intoxicated community member in need of medical care. The individual was identified and assessed on scene. EMS determined further medical care was not required."
2019-002356,9/14/2019,1:13:00 PM,GLENDON COLLEGE,Information,Health & Safety Concern,Security responded to check on the well- being of a community member who was reported to be in distress. The individual was identified and declined medical care.
2019-002357,9/14/2019,2:43:00 PM,PARKING GARAGE - ARBORETUM LANE (PS2),"Mischief, Under $5000",University Property,A Security patrol discovered university parking signs on the second level had been defaced. The Work Control Centre was notified.
2019-002358,9/14/2019,3:13:00 PM,WILLIAM SMALL CENTRE,Fire Alarm,Malicious Activation,Security and Toronto Fire responded to a fire alarm. The cause of the alarm was determined to be the malicious activation of a pull station.
2019-002359,9/14/2019,3:45:00 PM,SCOTT LIBRARY,"Theft, Under $5000",Private Property,Complainant reported the theft of a laptop computer left unattended on the second floor.
2019-002360,9/14/2019,3:48:00 PM,380 ASSINIBOINE ROAD RESIDENCE,Information,Health & Safety Concern,Security responded to check on the well- being of a community member who was reported to be in distress. The individual was identified and declined medical care.
2019-002361,9/14/2019,7:33:00 PM,PASSY RESIDENCE,Smoking Complaint,Subject Not Identified,Security responded to a smoking complaint. The source of the smoke was not determined.
2019-002364,9/14/2019,10:05:00 PM,GLENDON HALL,Disorderly Behaviour,Unauthorized Activities,A Security patrol encountered two individuals on the second floor fire escape staircase. They were cautioned.
2019-002363,9/14/2019,10:05:00 PM,FOUNDERS RESIDENCE,Smoking Complaint,Caution Issued,Security and Residence Life staff identified and cautioned a community member who was observed smoking in the residence.
2019-002365,9/15/2019,1:21:00 AM,CURTIS LECTURE HALLS,Trespass to Property Act,Non-Community Member,A Security patrol encountered a previously trespassed non-community member asleep inside a lecture hall. The individual was identified and directed to leave campus.
2019-002366,9/15/2019,9:39:00 AM,YORK LANES RETAIL,"Disturbance, Causing",Soliciting,Security responded to a report that an unknown male was soliciting money from patrons inside a restaurant. The male refused to provide identification and was escorted off campus.
2019-002367,9/15/2019,1:54:00 PM,WINTERS RESIDENCE,Suspicious Persons,Subject not Identified,Security responded to a report that an unknown male was observed in the residence without authorization. A description of the male was obtained.
2019-002368,9/16/2019,12:28:00 AM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was located and the leaseholder was requested to lower the noise level.
2019-002369,9/16/2019,2:01:00 AM,SCOTT RELIGIOUS CENTRE,"Disturbance, Causing",Loitering,A Security patrol encountered a community member asleep inside the building. The individual was identified and directed to leave the building.
2019-002371,9/16/2019,8:23:00 AM,WILLIAM SMALL CENTRE,"Mischief, Under $5000",University Property,Security responded to a report of graffiti inside a stairwell. The Work Control Centre was notified.
2019-002372,9/16/2019,9:43:00 AM,GLENDON COLLEGE - YORK HALL,"Mischief, Under $5000",University Property,Security responded to a report of graffiti inside a second floor washroom. The Work Control Centre was notified.
2019-002374,9/16/2019,9:50:00 AM,GLENDON COLLEGE - WOOD RESIDENCE,Information,Health & Safety Concern,Security responded to check on the well- being of a community member. The individual was located and all was reported to be in order.
2019-002375,9/16/2019,11:54:00 AM,YORK LANES RETAIL,Emergency Medical,Sudden Illness,Security and EMS responded to a report that a community member was experiencing a sudden illness. EMS transported the individual to hospital for further medical care.
2019-002380,9/16/2019,12:37:00 PM,GLENDON COLLEGE - PARKING LOT A,"Disturbance, Causing",Dispute,Security responded to a report of a dispute between two community members. The involved individuals were identified and cautioned.
2019-002376,9/16/2019,12:39:00 PM,STEDMAN LECTURE HALLS,Emergency Medical,Existing Medical Condition,"Security, Toronto Fire and EMS responded to a report of a community member experiencing a seizure. EMS transported the individual to hospital for further medical care."
2019-002379,9/16/2019,2:18:00 PM,PARKING GARAGE - STUDENT SERVICES (PS3),Motor Vehicle Incident,Fail to Remain,Complainant reported their vehicle was struck and damaged while parked in the garage.
2019-002381,9/16/2019,10:46:00 PM,CALUMET RESIDENCE,Emergency Medical,Injury,Security and EMS responded to a report of a community member with a lacerated finger. First aid was provided on scene and EMS transported the individual to hospital for further medical care.
2019-002382,9/16/2019,11:26:00 PM,PASSY RESIDENCE,Noise Complaint,Source Located,Security responded to a noise complaint. The source of the noise was determined to be a large group of individuals in an apartment. The occupants were requested to lower the noise level.
2019-002383,9/16/2019,11:35:00 PM,VICTOR PHILLIP DAHDALEH BUILDING,"Disturbance, Causing",Loitering,Security responded to a report of an unknown male loitering inside a fifth floor accessible washroom. The male refused to provide identification and was escorted off campus.
